Model,Architecture,Activation,LR,Params,Train Acc,Test Acc
MLP v1.2,60-128-64-32-16-1,ReLU,0.001,18689,1.0,0.9047619104385376
MLP v1,60-32-16-1,ReLU,0.001,2497,1.0,0.9047619104385376
MLP v1.2,60-128-64-32-16-1,ReLU,0.001,18689,1.0,0.9047619104385376
MLP v1,60-32-16-1,ReLU,0.001,2497,1.0,0.9047619104385376
MLP v1.5,60-128-32-1,ReLU,0.001,11969,1.0,0.8809523582458496
MLP v1.3,60-32-16-1,Sigmoid,0.001,2497,0.9578313231468201,0.8809523582458496
MLP v1.1,60-32-1,ReLU,0.001,1985,1.0,0.8809523582458496
MLP v1.5,60-128-32-1,ReLU,0.001,11969,1.0,0.8809523582458496
MLP v1.3,60-32-16-1,Sigmoid,0.001,2497,0.9578313231468201,0.8809523582458496
MLP v1,60-32-16-1,ReLU,0.001,1985,1.0,0.8809523582458496
MLP v1.4,60-32-16-8-4-1,ReLU,0.001,2657,1.0,0.8571428656578064
MLP v1.4,60-32-16-8-4-1,ReLU,0.001,2657,1.0,0.8571428656578064
Linear,60-1,sigmoid,0.01,61,0.9337349534034729,0.8333333134651184
Linear,60-1,sigmoid,0.01,61,0.9337349534034729,0.8333333134651184
